Grid Size,Threads,Mode,Schedule,Run,Execution Time (s)
100x100,4,column,dynamic,Average,0.002081
100x100,4,column,guided,1,0.002053
100x100,4,column,guided,2,0.002009
100x100,4,column,guided,3,0.002054
100x100,4,column,guided,4,0.001935
100x100,4,column,guided,5,0.002038
100x100,4,column,guided,Average,0.002018
100x100,4,column,runtime,1,0.001948
100x100,4,column,runtime,2,0.001898
100x100,4,column,runtime,3,0.001867
100x100,4,column,runtime,4,0.002205
100x100,4,column,runtime,5,0.001931
100x100,4,column,runtime,Average,0.001970
1000x1000,4,row,static,1,0.015415
1000x1000,4,row,static,2,0.015684
1000x1000,4,row,static,3,0.015573
1000x1000,4,row,static,4,0.015728
1000x1000,4,row,static,5,0.015698
1000x1000,4,row,static,Average,0.015619
1000x1000,4,row,dynamic,1,0.015856
1000x1000,4,row,dynamic,2,0.015617
1000x1000,4,row,dynamic,3,0.015570
1000x1000,4,row,dynamic,4,0.015543
1000x1000,4,row,dynamic,5,0.015615
1000x1000,4,row,dynamic,Average,0.015640
1000x1000,4,row,guided,1,0.015714
1000x1000,4,row,guided,2,0.015912
1000x1000,4,row,guided,3,0.025073
1000x1000,4,row,guided,4,0.015748
1000x1000,4,row,guided,5,0.015634
1000x1000,4,row,guided,Average,0.017616
1000x1000,4,row,runtime,1,0.015768
1000x1000,4,row,runtime,2,0.015652
1000x1000,4,row,runtime,3,0.015794
1000x1000,4,row,runtime,4,0.015221
1000x1000,4,row,runtime,5,0.015090
1000x1000,4,row,runtime,Average,0.015505
1000x1000,4,row,static,1,0.010424
1000x1000,4,row,static,2,0.010553
1000x1000,4,row,static,3,0.010826
1000x1000,4,row,static,4,0.010641
1000x1000,4,row,static,5,0.010913
1000x1000,4,row,static,Average,0.010671
1000x1000,4,row,dynamic,1,0.010641
1000x1000,4,row,dynamic,2,0.010647
1000x1000,4,row,dynamic,3,0.010680
1000x1000,4,row,dynamic,4,0.010666
1000x1000,4,row,dynamic,5,0.010707
1000x1000,4,row,dynamic,Average,0.010668
1000x1000,4,row,guided,1,0.010647
1000x1000,4,row,guided,2,0.010605
1000x1000,4,row,guided,3,0.010612
1000x1000,4,row,guided,4,0.010662
1000x1000,4,row,guided,5,0.010568
1000x1000,4,row,guided,Average,0.010619
1000x1000,4,row,runtime,1,0.010717
1000x1000,4,row,runtime,2,0.010566
1000x1000,4,row,runtime,3,0.010576
1000x1000,4,row,runtime,4,0.010747
1000x1000,4,row,runtime,5,0.010687
1000x1000,4,row,runtime,Average,0.010659
1000x1000,4,column,static,1,0.017786
1000x1000,4,column,static,2,0.017137
1000x1000,4,column,static,3,0.017177
1000x1000,4,column,static,4,0.017063
1000x1000,4,column,static,5,0.017608
1000x1000,4,column,static,Average,0.017354
1000x1000,4,column,dynamic,1,0.016941
1000x1000,4,column,dynamic,2,0.017229
1000x1000,4,column,dynamic,3,0.017462
1000x1000,4,column,dynamic,4,0.016919
1000x1000,4,column,dynamic,5,0.026523
1000x1000,4,column,dynamic,Average,0.019015
1000x1000,4,column,guided,1,0.016849
1000x1000,4,column,guided,2,0.016623
1000x1000,4,column,guided,3,0.016885
1000x1000,4,column,guided,4,0.016832
1000x1000,4,column,guided,5,0.016817
1000x1000,4,column,guided,Average,0.016801
1000x1000,4,column,runtime,1,0.016652
1000x1000,4,column,runtime,2,0.016791
1000x1000,4,column,runtime,3,0.016956
1000x1000,4,column,runtime,4,0.017095
1000x1000,4,column,runtime,5,0.017000
1000x1000,4,column,runtime,Average,0.016899
1000x1000,4,column,static,1,0.010581
1000x1000,4,column,static,2,0.010732
1000x1000,4,column,static,3,0.010673
1000x1000,4,column,static,4,0.010618
1000x1000,4,column,static,5,0.010607
1000x1000,4,column,static,Average,0.010642
1000x1000,4,column,dynamic,1,0.010571
1000x1000,4,column,dynamic,2,0.010628
1000x1000,4,column,dynamic,3,0.010666
1000x1000,4,column,dynamic,4,0.010596
1000x1000,4,column,dynamic,5,0.010669
1000x1000,4,column,dynamic,Average,0.010626
1000x1000,4,column,guided,1,0.010572
1000x1000,4,column,guided,2,0.010676
1000x1000,4,column,guided,3,0.010687
1000x1000,4,column,guided,4,0.019071
1000x1000,4,column,guided,5,0.011859
1000x1000,4,column,guided,Average,0.012573
1000x1000,4,column,runtime,1,0.010644
1000x1000,4,column,runtime,2,0.010937
1000x1000,4,column,runtime,3,0.010675
1000x1000,4,column,runtime,4,0.010887
1000x1000,4,column,runtime,5,0.010557
1000x1000,4,column,runtime,Average,0.010740
5000x5000,4,row,static,1,0.223754
5000x5000,4,row,static,2,0.224276
5000x5000,4,row,static,3,0.226749
5000x5000,4,row,static,4,0.224973
5000x5000,4,row,static,5,0.224949
5000x5000,4,row,static,Average,0.224940
5000x5000,4,row,dynamic,1,0.225521
5000x5000,4,row,dynamic,2,0.225454
5000x5000,4,row,dynamic,3,0.224910
5000x5000,4,row,dynamic,4,0.225962
5000x5000,4,row,dynamic,5,0.226737
5000x5000,4,row,dynamic,Average,0.225717
5000x5000,4,row,guided,1,0.226180
5000x5000,4,row,guided,2,0.225446
5000x5000,4,row,guided,3,0.224309
5000x5000,4,row,guided,4,0.226551
5000x5000,4,row,guided,5,0.224203
5000x5000,4,row,guided,Average,0.225338
5000x5000,4,row,runtime,1,0.225036
5000x5000,4,row,runtime,2,0.223876
5000x5000,4,row,runtime,3,0.226657
5000x5000,4,row,runtime,4,0.225033
5000x5000,4,row,runtime,5,0.225675
5000x5000,4,row,runtime,Average,0.225255
5000x5000,4,row,static,1,0.168155
5000x5000,4,row,static,2,0.167713
5000x5000,4,row,static,3,0.169408
5000x5000,4,row,static,4,0.167889
5000x5000,4,row,static,5,0.169616
5000x5000,4,row,static,Average,0.168556
5000x5000,4,row,dynamic,1,0.168163
5000x5000,4,row,dynamic,2,0.168013
5000x5000,4,row,dynamic,3,0.167269
5000x5000,4,row,dynamic,4,0.170014
5000x5000,4,row,dynamic,5,0.167363
5000x5000,4,row,dynamic,Average,0.168165
5000x5000,4,row,guided,1,0.167741
5000x5000,4,row,guided,2,0.168000
5000x5000,4,row,guided,3,0.168339
5000x5000,4,row,guided,4,0.168310
5000x5000,4,row,guided,5,0.169853
5000x5000,4,row,guided,Average,0.168449
5000x5000,4,row,runtime,1,0.171416
5000x5000,4,row,runtime,2,0.169423
5000x5000,4,row,runtime,3,0.167727
5000x5000,4,row,runtime,4,0.168388
5000x5000,4,row,runtime,5,0.167915
5000x5000,4,row,runtime,Average,0.168974
5000x5000,4,column,static,1,0.325028
5000x5000,4,column,static,2,0.324548
5000x5000,4,column,static,3,0.336297
5000x5000,4,column,static,4,0.329118
5000x5000,4,column,static,5,0.325213
5000x5000,4,column,static,Average,0.328041
5000x5000,4,column,dynamic,1,0.327869
5000x5000,4,column,dynamic,2,0.327347
5000x5000,4,column,dynamic,3,0.326713
5000x5000,4,column,dynamic,4,0.326503
5000x5000,4,column,dynamic,5,0.324186
5000x5000,4,column,dynamic,Average,0.326523
5000x5000,4,column,guided,1,0.325796
5000x5000,4,column,guided,2,0.325948
5000x5000,4,column,guided,3,0.326132
5000x5000,4,column,guided,4,0.324764
5000x5000,4,column,guided,5,0.325547
5000x5000,4,column,guided,Average,0.325637
5000x5000,4,column,runtime,1,0.333561
5000x5000,4,column,runtime,2,0.324521
5000x5000,4,column,runtime,3,0.325466
5000x5000,4,column,runtime,4,0.327847
5000x5000,4,column,runtime,5,0.327137
5000x5000,4,column,runtime,Average,0.327706
5000x5000,4,column,static,1,0.168572
5000x5000,4,column,static,2,0.168253
5000x5000,4,column,static,3,0.168905
5000x5000,4,column,static,4,0.168524
5000x5000,4,column,static,5,0.168126
5000x5000,4,column,static,Average,0.168476
5000x5000,4,column,dynamic,1,0.171471
5000x5000,4,column,dynamic,2,0.169556
5000x5000,4,column,dynamic,3,0.167201
5000x5000,4,column,dynamic,4,0.168178
5000x5000,4,column,dynamic,5,0.167663
5000x5000,4,column,dynamic,Average,0.168814
5000x5000,4,column,guided,1,0.167211
5000x5000,4,column,guided,2,0.168887
5000x5000,4,column,guided,3,0.169131
5000x5000,4,column,guided,4,0.166761
5000x5000,4,column,guided,5,0.167071
5000x5000,4,column,guided,Average,0.167812
5000x5000,4,column,runtime,1,0.169962
5000x5000,4,column,runtime,2,0.167181
5000x5000,4,column,runtime,3,0.168117
5000x5000,4,column,runtime,4,0.168174
5000x5000,4,column,runtime,5,0.167324
5000x5000,4,column,runtime,Average,0.168151
10000x10000,4,row,static,1,0.802083
10000x10000,4,row,static,2,0.809173
10000x10000,4,row,static,3,0.813684
10000x10000,4,row,static,4,0.802819
10000x10000,4,row,static,5,0.798845
10000x10000,4,row,static,Average,0.805321
10000x10000,4,row,dynamic,1,0.804538
10000x10000,4,row,dynamic,2,0.812792
10000x10000,4,row,dynamic,3,0.809515
10000x10000,4,row,dynamic,4,0.808977
10000x10000,4,row,dynamic,5,0.806908
10000x10000,4,row,dynamic,Average,0.808546
10000x10000,4,row,guided,1,0.804615
10000x10000,4,row,guided,2,0.805838
10000x10000,4,row,guided,3,0.802258
10000x10000,4,row,guided,4,0.803795
